InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
539475,SWM-014B,REVERSIBLE BIKINI BOTTOM - BLACK/WHITE,4,2023-02-07 00:00:00,38.77,10354.0,France
540761,SWM-005A,TERRY CLOTH BUCKET HAT - ECRU,3,2023-08-08 00:00:00,27.08,10493.0,Australia
539002,SWM-004A,LINEN BEACH COVER-UP DRESS - WHITE,3,2023-08-31 00:00:00,70.64,10308.0,France
539564,SWM-017A,SURF JOURNAL - KRAFT,4,2023-06-29 00:00:00,17.6,10361.0,France
546907,SWM-002A,RIBBED ONE-PIECE SWIMSUIT - SAND,2,2023-06-12 00:00:00,87.97,11143.0,Australia
540913,SWM-015A,PACKABLE BEACH BLANKET - STRIPE,3,2023-09-29 00:00:00,47.13,10501.0,Australia
540150,SWM-007A,BEADED ANKLET SET - GOLD,2,2023-08-04 00:00:00,16.37,10425.0,Indonesia
536041,SWM-012A,SURF WAX KIT - COOL,4,2023-03-15 00:00:00,11.64,10004.0,New Zealand
547473,SWM-001A,PRINTED SURF BIKINI TOP - CORAL,3,2023-08-09 00:00:00,43.9,11191.0,New Zealand
541521,SWM-016A,SHELL HAIR CLIP SET,2,2023-06-26 00:00:00,13.87,10553.0,Australia
547406,SWM-010A,BIKINI TOP MINIMALIST - TERRACOTTA,4,2023-04-08 00:00:00,41.79,11186.0,Australia
539449,SWM-001B,PRINTED SURF BIKINI BOTTOM - CORAL,2,2023-04-14 00:00:00,39.77,10351.0,France
544503,SWM-005A,TERRY CLOTH BUCKET HAT - ECRU,2,2023-05-31 00:00:00,27.75,10879.0,Australia
543667,SWM-007A,BEADED ANKLET SET - GOLD,3,2023-11-08 00:00:00,17.7,10783.0,Brazil
540762,SWM-009A,UV50 LONG-SLEEVE SWIM TOP - BLACK,3,2023-09-18 00:00:00,57.66,10493.0,Australia
545677,SWM-015A,PACKABLE BEACH BLANKET - STRIPE,3,2023-10-01 00:00:00,48.86,11000.0,United States
536507,SWM-010A,BIKINI TOP MINIMALIST - TERRACOTTA,3,2023-08-30 00:00:00,39.41,10047.0,Australia
541628,SWM-009A,UV50 LONG-SLEEVE SWIM TOP - BLACK,3,2023-02-26 00:00:00,57.5,10563.0,Australia
541696,SWM-001B,PRINTED SURF BIKINI BOTTOM - CORAL,3,2023-11-12 00:00:00,35.7,10568.0,Indonesia
536960,SWM-006A,RECYCLED NYLON BOARD SHORTS - OLIVE,3,2023-03-26 00:00:00,62.85,10103.0,Australia
543423,SWM-017A,SURF JOURNAL - KRAFT,3,2023-04-13 00:00:00,17.83,10760.0,Spain
543189,SWM-001A,PRINTED SURF BIKINI TOP - CORAL,3,2023-12-23 00:00:00,44.1,10728.0,Australia
537827,SWM-016A,SHELL HAIR CLIP SET,3,2023-11-28 00:00:00,14.44,10192.0,New Zealand
540655,SWM-017A,SURF JOURNAL - KRAFT,1,2023-05-24 00:00:00,17.49,10483.0,United States
540532,SWM-017A,SURF JOURNAL - KRAFT,2,2023-05-28 00:00:00,19.64,10468.0,France
540583,SWM-001B,PRINTED SURF BIKINI BOTTOM - CORAL,3,2023-08-31 00:00:00,37.46,10473.0,Indonesia
538608,SWM-011A,MESH SARONG WRAP - FOREST GREEN,2,2023-01-26 00:00:00,30.86,10274.0,Australia
545032,SWM-001B,PRINTED SURF BIKINI BOTTOM - CORAL,1,2023-06-24 00:00:00,36.73,10932.0,Australia
542956,SWM-001A,PRINTED SURF BIKINI TOP - CORAL,1,2023-06-08 00:00:00,39.76,10707.0,United States
541693,SWM-009A,UV50 LONG-SLEEVE SWIM TOP - BLACK,1,2023-08-08 00:00:00,54.88,10568.0,Indonesia
539983,SWM-008A,WATERPROOF TOTE BAG - NATURAL,2,2023-09-21 00:00:00,43.2,10405.0,Australia
546223,SWM-001A,PRINTED SURF BIKINI TOP - CORAL,4,2023-10-18 00:00:00,38.31,11069.0,United States
538410,SWM-013A,BIODEGRADABLE SUNSCREEN SPF50,2,2023-01-11 00:00:00,22.2,10252.0,New Zealand
547491,SWM-002A,RIBBED ONE-PIECE SWIMSUIT - SAND,3,2023-06-04 00:00:00,91.01,11193.0,Australia
538566,SWM-014B,REVERSIBLE BIKINI BOTTOM - BLACK/WHITE,3,2023-03-31 00:00:00,36.82,10269.0,Brazil
536516,SWM-017A,SURF JOURNAL - KRAFT,3,2023-11-19 00:00:00,18.29,10047.0,Australia
541697,SWM-012A,SURF WAX KIT - COOL,3,2023-12-14 00:00:00,12.27,10568.0,Indonesia
545076,SWM-001A,PRINTED SURF BIKINI TOP - CORAL,2,2023-10-25 00:00:00,39.55,10934.0,Australia
541816,SWM-015A,PACKABLE BEACH BLANKET - STRIPE,1,2023-01-31 00:00:00,51.14,10582.0,Brazil
538765,SWM-002A,RIBBED ONE-PIECE SWIMSUIT - SAND,2,2023-03-15 00:00:00,85.21,10294.0,Japan
545167,SWM-010B,BIKINI BOTTOM MINIMALIST - TERRACOTTA,2,2023-05-26 00:00:00,36.77,10942.0,France
541950,SWM-010B,BIKINI BOTTOM MINIMALIST - TERRACOTTA,1,2023-02-14 00:00:00,34.54,10591.0,United Kingdom
C538828,SWM-010B,BIKINI BOTTOM MINIMALIST - TERRACOTTA,-1,2023-02-04 00:00:00,32.75,10300.0,New Zealand
546608,SWM-014A,REVERSIBLE BIKINI TOP - BLACK/WHITE,3,2023-10-21 00:00:00,40.22,11113.0,France
538480,SWM-011A,MESH SARONG WRAP - FOREST GREEN,3,2023-10-11 00:00:00,31.18,10263.0,Canada
542185,SWM-017A,SURF JOURNAL - KRAFT,2,2023-07-30 00:00:00,19.83,10620.0,Australia
544397,SWM-010A,BIKINI TOP MINIMALIST - TERRACOTTA,1,2023-07-13 00:00:00,37.66,10868.0,New Zealand
540157,SWM-012A,SURF WAX KIT - COOL,4,2023-09-27 00:00:00,11.84,10427.0,New Zealand
547175,SWM-009A,UV50 LONG-SLEEVE SWIM TOP - BLACK,4,2023-05-29 00:00:00,56.57,11168.0,France
545117,SWM-003A,HIGH-NECK RASH GUARD - NAVY,2,2023-08-07 00:00:00,55.84,10937.0,Australia
547347,SWM-008A,WATERPROOF TOTE BAG - NATURAL,4,2023-08-04 00:00:00,43.73,11179.0,United States
536707,SWM-014B,REVERSIBLE BIKINI BOTTOM - BLACK/WHITE,2,2023-01-02 00:00:00,35.78,10068.0,Australia
547070,SWM-001B,PRINTED SURF BIKINI BOTTOM - CORAL,2,2023-06-12 00:00:00,34.54,11162.0,Spain
542143,SWM-001A,PRINTED SURF BIKINI TOP - CORAL,2,2023-05-12 00:00:00,37.91,10616.0,United Kingdom
545525,SWM-001B,PRINTED SURF BIKINI BOTTOM - CORAL,1,2023-07-16 00:00:00,36.44,10988.0,Australia
541532,SWM-005A,TERRY CLOTH BUCKET HAT - ECRU,3,2023-10-05 00:00:00,27.94,10553.0,Australia
538437,SWM-007A,BEADED ANKLET SET - GOLD,4,2023-08-08 00:00:00,16.97,10254.0,United States
542381,SWM-006A,RECYCLED NYLON BOARD SHORTS - OLIVE,1,2023-10-06 00:00:00,67.19,10639.0,United States
544490,SWM-013A,BIODEGRADABLE SUNSCREEN SPF50,3,2023-10-15 00:00:00,21.62,10874.0,United States
546129,SWM-015A,PACKABLE BEACH BLANKET - STRIPE,3,2023-05-13 00:00:00,50.87,11059.0,Australia
545440,SWM-011A,MESH SARONG WRAP - FOREST GREEN,1,2023-02-27 00:00:00,33.14,10980.0,Australia
547475,SWM-004A,LINEN BEACH COVER-UP DRESS - WHITE,2,2023-11-24 00:00:00,76.81,11191.0,New Zealand
547288,SWM-013A,BIODEGRADABLE SUNSCREEN SPF50,3,2023-09-11 00:00:00,21.11,11175.0,Australia
538312,SWM-003A,HIGH-NECK RASH GUARD - NAVY,2,2023-10-16 00:00:00,55.92,10241.0,New Zealand
540272,SWM-004A,LINEN BEACH COVER-UP DRESS - WHITE,2,2023-03-20 00:00:00,75.9,10437.0,Australia
542344,SWM-001A,PRINTED SURF BIKINI TOP - CORAL,1,2023-07-23 00:00:00,39.37,10636.0,United States
544393,SWM-014B,REVERSIBLE BIKINI BOTTOM - BLACK/WHITE,3,2023-05-08 00:00:00,37.18,10868.0,New Zealand
545331,SWM-001B,PRINTED SURF BIKINI BOTTOM - CORAL,1,2023-08-24 00:00:00,39.48,10959.0,Australia
542982,SWM-008A,WATERPROOF TOTE BAG - NATURAL,2,2023-03-12 00:00:00,45.92,10711.0,Australia
536411,SWM-010B,BIKINI BOTTOM MINIMALIST - TERRACOTTA,4,2023-06-14 00:00:00,34.23,10040.0,France
536901,SWM-003A,HIGH-NECK RASH GUARD - NAVY,3,2023-01-20 00:00:00,56.39,10095.0,Brazil
538531,SWM-007A,BEADED ANKLET SET - GOLD,3,2023-06-06 00:00:00,16.54,10267.0,United States
545957,SWM-001B,PRINTED SURF BIKINI BOTTOM - CORAL,3,2023-11-20 00:00:00,38.35,11038.0,New Zealand
539279,SWM-013A,BIODEGRADABLE SUNSCREEN SPF50,4,2023-05-10 00:00:00,21.38,10334.0,Australia
545733,SWM-016A,SHELL HAIR CLIP SET,2,2023-08-05 00:00:00,14.53,11005.0,Australia
541294,SWM-002A,RIBBED ONE-PIECE SWIMSUIT - SAND,3,2023-04-06 00:00:00,89.13,10539.0,United States
536012,SWM-005A,TERRY CLOTH BUCKET HAT - ECRU,4,2023-07-15 00:00:00,26.33,10002.0,Australia
547198,SWM-011A,MESH SARONG WRAP - FOREST GREEN,4,2023-11-01 00:00:00,31.59,11169.0,Australia
538479,SWM-001B,PRINTED SURF BIKINI BOTTOM - CORAL,3,2023-08-08 00:00:00,35.56,10263.0,Canada
539949,SWM-011A,MESH SARONG WRAP - FOREST GREEN,3,2023-02-11 00:00:00,28.87,10401.0,France
536910,SWM-008A,WATERPROOF TOTE BAG - NATURAL,4,2023-05-25 00:00:00,46.93,10095.0,Brazil
544596,SWM-014A,REVERSIBLE BIKINI TOP - BLACK/WHITE,3,2023-08-31 00:00:00,40.45,10886.0,Australia
545671,SWM-010A,BIKINI TOP MINIMALIST - TERRACOTTA,4,2023-08-24 00:00:00,36.78,11000.0,United States
545794,SWM-016A,SHELL HAIR CLIP SET,2,2023-05-20 00:00:00,14.74,11011.0,Australia
543595,SWM-010A,BIKINI TOP MINIMALIST - TERRACOTTA,3,2023-04-25 00:00:00,38.72,10778.0,United States
545806,SWM-014B,REVERSIBLE BIKINI BOTTOM - BLACK/WHITE,2,2023-08-02 00:00:00,35.21,11015.0,United States
542060,SWM-014A,REVERSIBLE BIKINI TOP - BLACK/WHITE,4,2023-09-19 00:00:00,42.7,10602.0,Australia
540117,SWM-014A,REVERSIBLE BIKINI TOP - BLACK/WHITE,2,2023-12-26 00:00:00,43.61,10419.0,Australia
544944,SWM-014B,REVERSIBLE BIKINI BOTTOM - BLACK/WHITE,3,2023-05-13 00:00:00,39.03,10922.0,Australia
540550,SWM-005A,TERRY CLOTH BUCKET HAT - ECRU,3,2023-11-06 00:00:00,27.99,10471.0,Australia
542566,SWM-010B,BIKINI BOTTOM MINIMALIST - TERRACOTTA,3,2023-08-05 00:00:00,34.01,10664.0,France
546932,SWM-005A,TERRY CLOTH BUCKET HAT - ECRU,4,2023-05-07 00:00:00,25.35,11147.0,Indonesia
537778,SWM-006A,RECYCLED NYLON BOARD SHORTS - OLIVE,4,2023-10-28 00:00:00,68.05,10186.0,Portugal
537889,SWM-005A,TERRY CLOTH BUCKET HAT - ECRU,3,2023-01-08 00:00:00,26.84,10200.0,New Zealand
539771,SWM-014B,REVERSIBLE BIKINI BOTTOM - BLACK/WHITE,1,2023-04-24 00:00:00,36.13,10382.0,New Zealand
541618,SWM-011A,MESH SARONG WRAP - FOREST GREEN,1,2023-12-22 00:00:00,31.55,10560.0,France
543425,SWM-006A,RECYCLED NYLON BOARD SHORTS - OLIVE,2,2023-05-16 00:00:00,60.85,10760.0,Spain
541519,SWM-003A,HIGH-NECK RASH GUARD - NAVY,1,2023-04-15 00:00:00,52.59,10553.0,Australia
540999,SWM-001B,PRINTED SURF BIKINI BOTTOM - CORAL,2,2023-11-14 00:00:00,36.68,10508.0,Australia
546630,SWM-010A,BIKINI TOP MINIMALIST - TERRACOTTA,4,2023-10-29 00:00:00,38.5,11116.0,United Kingdom
546622,SWM-005A,TERRY CLOTH BUCKET HAT - ECRU,1,2023-06-28 00:00:00,26.24,11116.0,United Kingdom
547254,SWM-017A,SURF JOURNAL - KRAFT,3,2023-11-14 00:00:00,17.72,11173.0,Australia
542733,SWM-016A,SHELL HAIR CLIP SET,2,2023-08-27 00:00:00,15.57,10684.0,Australia
544418,SWM-015A,PACKABLE BEACH BLANKET - STRIPE,3,2023-02-24 00:00:00,53.32,10869.0,Indonesia
540529,SWM-016A,SHELL HAIR CLIP SET,3,2023-06-25 00:00:00,15.36,10467.0,France
543899,SWM-010A,BIKINI TOP MINIMALIST - TERRACOTTA,2,2023-04-06 00:00:00,37.18,10810.0,United States
542924,SWM-012A,SURF WAX KIT - COOL,1,2023-12-31 00:00:00,11.2,10702.0,Australia
544312,SWM-015A,PACKABLE BEACH BLANKET - STRIPE,3,2023-07-02 00:00:00,51.29,10855.0,United States
541876,SWM-017A,SURF JOURNAL - KRAFT,3,2023-06-01 00:00:00,18.54,10584.0,Australia
546804,SWM-001A,PRINTED SURF BIKINI TOP - CORAL,1,2023-03-11 00:00:00,37.89,11133.0,Australia
541446,SWM-015A,PACKABLE BEACH BLANKET - STRIPE,4,2023-04-04 00:00:00,49.31,10547.0,France
538114,SWM-014A,REVERSIBLE BIKINI TOP - BLACK/WHITE,2,2023-02-13 00:00:00,45.81,10224.0,France
536968,SWM-002A,RIBBED ONE-PIECE SWIMSUIT - SAND,2,2023-10-01 00:00:00,89.05,10103.0,Australia
540708,SWM-011A,MESH SARONG WRAP - FOREST GREEN,2,2023-04-26 00:00:00,31.9,10490.0,France
538765,SWM-009A,UV50 LONG-SLEEVE SWIM TOP - BLACK,4,2023-03-15 00:00:00,57.08,10294.0,Japan
547072,SWM-006A,RECYCLED NYLON BOARD SHORTS - OLIVE,2,2023-07-18 00:00:00,65.55,11162.0,Spain
541248,SWM-001A,PRINTED SURF BIKINI TOP - CORAL,4,2023-10-30 00:00:00,41.95,10531.0,United States
545041,SWM-013A,BIODEGRADABLE SUNSCREEN SPF50,3,2023-12-08 00:00:00,20.42,10932.0,Australia
543367,SWM-014B,REVERSIBLE BIKINI BOTTOM - BLACK/WHITE,2,2023-07-13 00:00:00,36.64,10751.0,Spain
536997,SWM-006A,RECYCLED NYLON BOARD SHORTS - OLIVE,4,2023-07-10 00:00:00,67.78,10104.0,Australia
538914,SWM-012A,SURF WAX KIT - COOL,1,2023-11-23 00:00:00,11.78,10302.0,Australia
542212,SWM-004A,LINEN BEACH COVER-UP DRESS - WHITE,2,2023-06-18 00:00:00,69.71,10621.0,United States
537329,SWM-016A,SHELL HAIR CLIP SET,1,2023-04-13 00:00:00,14.23,10143.0,Spain
